mysql> SELECT s3key, round(sum(bytes_sent)/max(bytes)) as count, min(dtime) as first,max(dtime) as last FROM downloads LEFT JOIN downloadable ON downloads.did = downloadable.id WHERE s3key like '%.aff' and year(dtime)=2023 GROUP BY s3key HAVING count>=1 ORDER BY s3key;
+-----------------------------------------------------------------------------------+-------+---------------------+---------------------+
| s3key                                                                             | count | first               | last                |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-01.aff          |     9 | 2023-01-16 00:00:00 | 2023-12-30 01:43:40 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-02.aff          |     8 | 2023-01-08 00:00:00 | 2023-12-30 02:39:02 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-03.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-30 12:30:12 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-04.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-31 18:17:50 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-07.aff          |     9 | 2023-01-07 00:00:00 | 2023-12-30 11:21:36 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-08.aff          |     8 | 2023-01-16 00:00:00 | 2023-12-30 17:27:19 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-09.aff          |     7 | 2023-01-10 00:00:00 | 2023-12-31 14:44:28 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-10.aff          |     7 | 2023-01-15 00:00:00 | 2023-12-30 14:27:13 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/terry-2009-12-11-002.aff      |     8 | 2023-02-01 00:00:00 | 2023-12-30 05:43:06 |
| corpora/scenarios/2009-m57-patents/drives/charlie-2009-12-11-work-usb.aff         |   394 | 2023-01-01 00:00:00 | 2023-12-30 13:23:31 |
| corpora/scenarios/2009-m57-patents/drives/jo-2009-12-11-favorites-usb.aff         |    49 | 2023-01-01 00:00:00 | 2023-12-31 17:53:59 |
| corpora/scenarios/2009-m57-patents/drives/jo-2009-12-11-work-usb.aff              |    44 | 2023-01-16 00:00:00 | 2023-12-31 12:43:31 |
| corpora/scenarios/2009-m57-patents/drives/terry-2009-12-11-work-usb.aff           |   154 | 2023-01-16 00:00:00 | 2023-12-31 01:26:02 |
+-----------------------------------------------------------------------------------+-------+---------------------+---------------------+
92 rows in set (0.49 sec)

mysql> SELECT s3key, round(sum(bytes_sent)/max(bytes)) as count, min(dtime) as first,max(dtime) as last FROM downloads LEFT JOIN downloadable ON downloads.did = downloadable.id WHERE s3key like '%encrypted%' and year(dtime)=2023 GROUP B
Y s3key HAVING count>=1 ORDER BY s3key;
+-----------------------------------------------------------------------------------+-------+---------------------+---------------------+
| s3key                                                                             | count | first               | last                |
+-----------------------------------------------------------------------------------+-------+---------------------+---------------------+
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-12.aff        |    11 | 2023-01-14 00:00:00 | 2023-12-31 16:50:13 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-12start.aff   |     9 | 2023-01-11 00:00:00 | 2023-12-30 00:40:01 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-16.aff        |     9 | 2023-01-17 00:00:00 | 2023-12-30 04:04:10 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-17.aff        |    10 | 2023-01-16 00:00:00 | 2023-12-30 01:31:03 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-18.aff        |    10 | 2023-01-15 00:00:00 | 2023-12-30 00:58:29 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-19.aff        |    10 | 2023-01-15 00:00:00 | 2023-12-30 16:08:07 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-20.aff        |    10 | 2023-01-11 00:00:00 | 2023-12-29 12:36:58 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-23.aff        |     9 | 2023-01-15 00:00:00 | 2023-12-30 12:39:24 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-24.aff        |    10 | 2023-01-07 00:00:00 | 2023-12-31 13:49:47 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-11-30.aff        |     9 | 2023-01-13 00:00:00 | 2023-12-31 06:38:42 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-01.aff        |    11 | 2023-01-15 00:00:00 | 2023-12-31 09:22:04 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-02.aff        |    12 | 2023-01-16 00:00:00 | 2023-12-31 15:42:12 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-03.aff        |    10 | 2023-01-16 00:00:00 | 2023-12-30 01:54:40 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-04.aff        |    11 | 2023-01-17 00:00:00 | 2023-12-31 20:47:50 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-07.aff        |    10 | 2023-01-15 00:00:00 | 2023-12-30 18:07:26 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-08.aff        |     8 | 2023-02-01 00:00:00 | 2023-12-30 03:29:14 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-09.aff        |     8 | 2023-01-15 00:00:00 | 2023-12-30 07:21:29 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-10.aff        |     8 | 2023-02-02 00:00:00 | 2023-12-31 23:16:35 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/charlie-2009-12-11.aff        |     9 | 2023-01-01 00:00:00 | 2023-12-30 01:46:36 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-12.aff             |     9 | 2023-01-14 00:00:00 | 2023-12-31 20:31:04 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-12start.aff        |     8 | 2023-01-03 00:00:00 | 2023-12-31 11:49:17 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-16.aff             |     9 | 2023-01-15 00:00:00 | 2023-12-31 19:33:39 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-17.aff             |     9 | 2023-01-16 00:00:00 | 2023-12-28 03:48:40 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-18.aff             |    10 | 2023-01-16 00:00:00 | 2023-12-31 22:22:34 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-19.aff             |    11 | 2023-01-15 00:00:00 | 2023-12-31 18:50:55 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-20-newComputer.aff |    12 | 2023-01-17 00:00:00 | 2023-12-30 11:35:38 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-20-oldComputer.aff |     7 | 2023-01-14 00:00:00 | 2023-12-30 17:25:40 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-23.aff             |    12 | 2023-01-01 00:00:00 | 2023-12-31 17:49:58 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-24.aff             |     9 | 2023-01-16 00:00:00 | 2023-12-30 23:02:21 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-11-30.aff             |     8 | 2023-01-01 00:00:00 | 2023-12-31 12:36:19 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-01.aff             |     9 | 2023-01-14 00:00:00 | 2023-12-30 17:21:15 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-02.aff             |     9 | 2023-01-13 00:00:00 | 2023-12-31 08:23:27 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-03.aff             |     7 | 2023-01-15 00:00:00 | 2023-12-31 14:28:31 |
| corpora/scenarios/2009-m57-patents/drives-encrypted/jo-2009-12-04.aff             |     8 | 2023-01-17 00:00:00 | 2023-12-30 13:31:59 |
